station_id,name,lat,lon,capacity,address,is_charging_station,nearby_distance
7910,Eglinton Ave E / Brentcliffe Rd,43.7143057930175,-79.3608904504013,15,939 Eglinton Ave E,False,300.0
7911,King St W / York St (2),43.647968822765,-79.3831696135265,19,59 King St W,False,1.0
7912,Joe Shuster Way / King St W ,43.64039672322,-79.4237424131447,19,30 Joe Shuster Way,False,100.0
7913,St. George St / Willcocks St,43.6624527444956,-79.3978384219513,35,St George St / Willcocks St,False,100.0
7914,York St / Wellington St W (2),43.647043061824,-79.3831412068154,27,100 Wellington St W ,False,5.0
7915,Rogers Rd / Watt Ave,43.6823368,-79.4680594,15,500 Rogers Rd,False,300.0
7916,University Ave / Pearl St ,43.6483680938524,-79.3853510232788,19,University Ave / Pearl St ,False,100.0
7917,King St W / University Ave,43.6478180854092,-79.3842799907379,37,150 King St W,False,50.0
7918,Albion Rd/ Arcot Blvd,43.7276217093164,-79.5525490293929,15,Albion Rd/ Arcot Blvd (Summerlea Park),False,500.0
7919,Armel Ct / Albion Rd,43.7215329668732,-79.5455834809678,19,Armel Ct / Albion Rd,False,300.0
7920,75 Tandridge Cres,43.7295782735861,-79.5469979387272,15,75 Tandridge Cres,False,300.0
7922,35 Erindale Ave,43.67729,-79.35741,23,35 Erindale Ave,True,100.0
7923,Trethewey Dr / Jane St,43.6974170705586,-79.5007983091232,19,725 Trethewey Dr ,False,500.0
7924,Duncan St / Adelaide St W - SMART,43.6481305756973,-79.388581061377,12,19 Duncan St ,False,350.0
7925,Niagara St / King St W - SMART,43.6428132340837,-79.4075141558892,23,801 King St W ,False,350.0
7926,McRae Dr / Laird Dr - SMART,43.709792968226,-79.3638921446049,24,McRae Dr / Laird Dr,False,300.0
7927,Strachan Ave / East Liberty St - SMART,43.6390647023699,-79.4108099616446,24,Strachan Ave / East Liberty St,False,100.0
7928,Simcoe St / Pullan Pl,43.6510529041254,-79.3876494322787,47,Simcoe St / Pullan Pl,False,100.0
7929,Spadina Ave / Bulwer St- SMART ,43.6493544752738,-79.3967571333286,12,Spadina Ave / Bulwer St- SMART ,False,100.0
